Log della sequenza DWIN generato il: 20/10/2025 15:46:04
Totale messaggi: 65798
--- INIZIO SEQUENZA ---
Msg 00311: ID=500, Len=8, Data=[9A 00 51 45 14 00 51 45]
Msg 00312: ID=500, Len=8, Data=[A1 43 2D C6 DC AA 0D EF]
Msg 00313: ID=500, Len=8, Data=[A8 DC 76 1F 5A 00 7C 92]
Msg 00314: ID=500, Len=8, Data=[AF AC 4B 96 38 AC F9 AE]
Msg 00315: ID=500, Len=8, Data=[B6 5E E4 85 00 81 D9 47]
Msg 00316: ID=500, Len=8, Data=[BD 7A 90 C2 64 6D D2 B6]
Msg 00317: ID=500, Len=8, Data=[C4 E3 E8 3A 54 8A A1 46]
Msg 00318: ID=500, Len=8, Data=[CB 00 00 7B 50 05 65 B5]
Msg 00319: ID=500, Len=8, Data=[D2 63 D4 81 FA D4 E9 12]
Msg 00320: ID=500, Len=8, Data=[D9 C7 D0 73 EA 7A D3 A8]
Msg 00321: ID=500, Len=8, Data=[E0 A0 02 8A 29 B2 48 23]
Msg 00322: ID=500, Len=8, Data=[E7 19 3F 80 A0 05 66 08]
Msg 00323: ID=500, Len=8, Data=[EE 32 6A 00 00 00 00 00]
Msg 00324: ID=500, Len=8, Data=[F1 F0 83 C0 00 00 00 00]
Msg 00325: ID=500, Len=8, Data=[00 A4 B3 19 0F A0 F4 A4]
Msg 00326: ID=500, Len=8, Data=[07 92 43 23 64 F4 EC 29]
Msg 00327: ID=500, Len=8, Data=[0E 94 00 51 45 14 00 51]
Msg 00328: ID=500, Len=8, Data=[15 4A 01 24 00 32 4D 59]
Msg 00329: ID=500, Len=8, Data=[1C 86 C1 DF 05 FE 41 E9]
Msg 00330: ID=500, Len=8, Data=[23 DE 80 2B 00 49 00 0C]
Msg 00331: ID=500, Len=8, Data=[2A 93 56 61 B0 77 C1 7F]
Msg 00332: ID=500, Len=8, Data=[31 90 7A 77 AB B1 40 90]
Msg 00333: ID=500, Len=8, Data=[38 8F 95 79 F5 EF 52 50]
Msg 00334: ID=500, Len=8, Data=[3F 04 71 40 90 8F 95 79]
